[-15, -7, -2, 0, 1, 3, -3, -16]
[42, -3, -3, -2, -4, 0, 5, -1]
[-16, -1, -2, 3, 0, -4, 5, -4]
[-23, -8, -6, -5, -1, -1, -14, -12]
[-26, 2, -2, 3, 0, -2, 4, -7]
[-4, -4, -6, -7, -3, 3, 6, -7]
[-3, 2, 3, 3, -2, -4, 2, 0]
[-5, 0, -4, 0, 3, 8, 2, -2]
[2, 0, -2, -5, -1, -4, 2, 1]
[-8, -2, 2, 0, -3, 0, 2, -3]
[-4, 0, 1, 2, 3, 1, 0, -3]
[1, 0, 2, 6, 5, -4, 1, -3]
[-1, 1, -1, 4, -5, 3, 1, 0]
[-3, -1, -11, 8, 31, 5, 0, 0]
[-6, -5, -24, 8, 4, -9, -3, -4]
[0, -6, -1, -15, -24, 1, -1, 2]
[0, -2, -47, -52, 6, 1, 2, 2]
[-4, -5, -12, 75, -33, -7, -2, -3]
[5, 6, -9, -101, -10, -7, 1, 3]
[2, 8, 7, -29, 11, 14, 4, -1]
[0, -5, -31, -61, -6, -4, -3, -2]
[0, -7, -53, 61, 10, 3, -1, 0]
[11, 18, 27, -35, 16, 0, 3, 5]
[-17, -18, -61, -71, -12, 6, 7, 7]
[-19, 0, 13, -51, 8, 11, 5, 0]
[-3, 7, 87, -47, -6, -8, -4, -3]
[14, -7, -56, -62, -27, 13, 6, 6]
[0, 16, -25, -45, -25, -5, 2, 6]
[16, 4, 15, 16, -1, 2, -1, 2]
[8, -3, 65, 79, 15, -9, -2, 6]
[33, 6, 69, 3, 0, -7, -5, -6]
[-7, -49, -42, 42, -2, -1, -3, -9]
[4, 12, 3, -63, 5, 0, 1, 2]
[-21, 1, -17, -3, -8, -4, -5, -8]
[-8, 7, 70, 121, 24, 1, -6, 2]
[-6, -27, -62, 86, 1, -5, -2, 5]
[-1, -5, 17, -45, -2, -14, -7, -8]
[-14, -4, -23, -13, 3, 4, -1, -5]
[-11, -16, -38, 64, -20, -14, -4, -13]
[1, 4, 19, -28, 7, -1, 0, -2]
[-6, 11, 4, -59, -1, -1, 1, 0]
[-2, 4, 10, -4, -2, -1, 5, 2]
[10, 2, 25, 14, 1, -1, -2, -4]
[-2, 0, 84, 49, 12, 0, 0, -9]
[-14, -5, 40, 31, 22, 7, 2, -4]
[10, 6, 15, 31, 1, 2, 2, 4]
[-12, -15, -22, -17, 5, 4, 1, 3]
[-7, -1, -18, 27, -2, -1, -4, -1]
[9, 9, 51, 100, 0, -6, 0, 5]
[10, -5, -79, 5, 16, 3, -2, 1]
[10, -7, 40, -11, -4, -1, 1, 0]
[10, 11, 13, -40, -3, 1, 1, 1]
[-3, -1, 17, -24, -5, 0, -6, -4]
[6, 2, 1, -46, -4, -2, -2, 0]
[-2, -1, 14, -8, -2, 3, 2, 0]
[1, -1, 18, -52, -6, -11, -6, -7]
[4, 6, -8, -1, 12, 6, 10, 3]
[-5, 1, -6, 14, -14, -10, -2, -3]
[-5, 1, 9, 1, 2, 7, 3, -1]
[-2, -3, -14, 17, -1, 1, -2, 2]
[-4, -1, -10, 16, 2, 4, -1, -2]
[-8, 1, 9, -8, -2, 1, 3, 0]
[0, 0, -4, 13, -1, 1, -3, -2]
[-3, 1, 1, -26, -1, -1, -3, -2]
[5, -3, -35, -13, -4, 0, 6, 1]
[-14, -5, -8, -1, -2, -2, -24, -10]
[-2, 0, 6, 9, -2, -3, -5, -2]
[-1, -1, 0, 24, -1, -2, -3, 1]
[-1, -2, -3, 2, 2, 4, 3, 0]
[0, 1, 3, 4, -2, -4, 1, 1]
[-12, -5, -2, 2, 3, -2, -2, -3]
[-3, 1, -19, 9, -11, 1, -4, -1]
[1, -1, 14, 0, 0, -4, 0, 0]
[0, 2, -3, 5, -3, -4, 0, 2]
[-3, 0, 0, 0, -2, 3, -1, 0]
[1, 0, 4, 3, 6, 1, -1, 0]
[2, 1, 1, -1, 1, -1, -1, -2]
[5, 5, 2, -5, -5, -1, 1, 1]
[-6, -9, -43, 84, 10, 4, 4, 0]
[4, 2, 25, -16, -6, -1, 1, 1]
[3, 3, 19, -30, 5, 19, 4, 3]
[-2, -3, 42, -25, -37, -8, -2, 0]
[3, 4, -56, -53, 50, 19, 2, 2]
[-2, 2, 12, -16, -2, -14, -6, -4]
[-7, -30, -39, -23, -27, -25, -12, -10]
[-3, 3, 23, 37, -8, -2, -2, -3]
